,要素ID,項目名,コンテキストID,相対年度,連結・個別,期間・時点,ユニットID,単位,値
683,jpigp_cor:PurchaseAndDisposalOfTreasurySharesSSIFRS,自己株式の取得及び処分、持分変動計算書（IFRS）,Prior1YearDuration,前期,その他,期間,JPY,円,130000000
684,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,Prior1YearDuration_ShareCapitalIFRSMember,前期,その他,期間,JPY,円,－
685,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,Prior1YearDuration_CapitalSurplusIFRSMember,前期,その他,期間,JPY,円,-90000000
686,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,Prior1YearDuration_RetainedEarningsIFRSMember,前期,その他,期間,JPY,円,－
687,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,Prior1YearDuration_TreasurySharesIFRSMember,前期,その他,期間,JPY,円,－
688,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,Prior1YearDuration_ShareAcquisitionRightsIFRSMember,前期,その他,期間,JPY,円,-36000000
689,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,Prior1YearDuration_OtherComponentsOfEquityIFRSMember,前期,その他,期間,JPY,円,－
690,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,Prior1YearDuration_EquityAttributableToOwnersOfParentIFRSMember,前期,その他,期間,JPY,円,-126000000
691,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,Prior1YearDuration_NonControllingInterestsIFRSMember,前期,その他,期間,JPY,円,－
692,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,Prior1YearDuration,前期,その他,期間,JPY,円,-126000000
693,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,Prior1YearDuration_ShareCapitalIFRSMember,前期,その他,期間,JPY,円,－
694,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,Prior1YearDuration_CapitalSurplusIFRSMember,前期,その他,期間,JPY,円,187000000
695,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,Prior1YearDuration_RetainedEarningsIFRSMember,前期,その他,期間,JPY,円,－
696,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,Prior1YearDuration_TreasurySharesIFRSMember,前期,その他,期間,JPY,円,－
697,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,Prior1YearDuration_ShareAcquisitionRightsIFRSMember,前期,その他,期間,JPY,円,－
698,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,Prior1YearDuration_OtherComponentsOfEquityIFRSMember,前期,その他,期間,JPY,円,－
699,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,Prior1YearDuration_EquityAttributableToOwnersOfParentIFRSMember,前期,その他,期間,JPY,円,187000000
700,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,Prior1YearDuration_NonControllingInterestsIFRSMember,前期,その他,期間,JPY,円,347000000
701,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,Prior1YearDuration,前期,その他,期間,JPY,円,534000000
702,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,Prior1YearDuration_ShareCapitalIFRSMember,前期,その他,期間,JPY,円,－
703,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,Prior1YearDuration_CapitalSurplusIFRSMember,前期,その他,期間,JPY,円,-20000000
704,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,Prior1YearDuration_RetainedEarningsIFRSMember,前期,その他,期間,JPY,円,－
705,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,Prior1YearDuration_TreasurySharesIFRSMember,前期,その他,期間,JPY,円,－
706,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,Prior1YearDuration_ShareAcquisitionRightsIFRSMember,前期,その他,期間,JPY,円,－
707,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,Prior1YearDuration_OtherComponentsOfEquityIFRSMember,前期,その他,期間,JPY,円,－
708,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,Prior1YearDuration_EquityAttributableToOwnersOfParentIFRSMember,前期,その他,期間,JPY,円,-20000000
709,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,Prior1YearDuration_NonControllingInterestsIFRSMember,前期,その他,期間,JPY,円,－
710,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,Prior1YearDuration,前期,その他,期間,JPY,円,-20000000
711,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,Prior1YearDuration_ShareCapitalIFRSMember,前期,その他,期間,JPY,円,－
712,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,Prior1YearDuration_CapitalSurplusIFRSMember,前期,その他,期間,JPY,円,10016000000
713,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,Prior1YearDuration_RetainedEarningsIFRSMember,前期,その他,期間,JPY,円,－
714,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,Prior1YearDuration_TreasurySharesIFRSMember,前期,その他,期間,JPY,円,－
715,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,Prior1YearDuration_ShareAcquisitionRightsIFRSMember,前期,その他,期間,JPY,円,－
716,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,Prior1YearDuration_OtherComponentsOfEquityIFRSMember,前期,その他,期間,JPY,円,－
717,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,Prior1YearDuration_EquityAttributableToOwnersOfParentIFRSMember,前期,その他,期間,JPY,円,10016000000
718,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,Prior1YearDuration_NonControllingInterestsIFRSMember,前期,その他,期間,JPY,円,－
719,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,Prior1YearDuration,前期,その他,期間,JPY,円,10016000000
720,jpigp_cor:TransferFromOtherComponentsOfEquityToRetainedEarningsSSIFRS,その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,Prior1YearDuration_ShareCapitalIFRSMember,前期,その他,期間,JPY,円,－
721,jpigp_cor:TransferFromOtherComponentsOfEquityToRetainedEarningsSSIFRS,その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,Prior1YearDuration_CapitalSurplusIFRSMember,前期,その他,期間,JPY,円,－
722,jpigp_cor:TransferFromOtherComponentsOfEquityToRetainedEarningsSSIFRS,その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,Prior1YearDuration_RetainedEarningsIFRSMember,前期,その他,期間,JPY,円,10747000000
723,jpigp_cor:TransferFromOtherComponentsOfEquityToRetainedEarningsSSIFRS,その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,Prior1YearDuration_TreasurySharesIFRSMember,前期,その他,期間,JPY,円,－
724,jpigp_cor:TransferFromOtherComponentsOfEquityToRetainedEarningsSSIFRS,その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,Prior1YearDuration_ShareAcquisitionRightsIFRSMember,前期,その他,期間,JPY,円,－
725,jpigp_cor:TransferFromOtherComponentsOfEquityToRetainedEarningsSSIFRS,その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,Prior1YearDuration_OtherComponentsOfEquityIFRSMember,前期,その他,期間,JPY,円,-10747000000
726,jpigp_cor:TransferFromOtherComponentsOfEquityToRetainedEarningsSSIFRS,その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,Prior1YearDuration_EquityAttributableToOwnersOfParentIFRSMember,前期,その他,期間,JPY,円,－
727,jpigp_cor:TransferFromOtherComponentsOfEquityToRetainedEarningsSSIFRS,その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,Prior1YearDuration_NonControllingInterestsIFRSMember,前期,その他,期間,JPY,円,－
728,jpigp_cor:TransferFromOtherComponentsOfEquityToRetainedEarningsSSIFRS,その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,Prior1YearDuration,前期,その他,期間,JPY,円,－
729,jpigp_cor:TotalTransactionsWithOwnersIFRS,所有者との取引額（IFRS）,Prior1YearDuration_ShareCapitalIFRSMember,前期,その他,期間,JPY,円,－
730,jpigp_cor:TotalTransactionsWithOwnersIFRS,所有者との取引額（IFRS）,Prior1YearDuration_CapitalSurplusIFRSMember,前期,その他,期間,JPY,円,10093000000
731,jpigp_cor:TotalTransactionsWithOwnersIFRS,所有者との取引額（IFRS）,Prior1YearDuration_RetainedEarningsIFRSMember,前期,その他,期間,JPY,円,-1624000000
732,jpigp_cor:TotalTransactionsWithOwnersIFRS,所有者との取引額（IFRS）,Prior1YearDuration_TreasurySharesIFRSMember,前期,その他,期間,JPY,円,158000000
733,jpigp_cor:TotalTransactionsWithOwnersIFRS,所有者との取引額（IFRS）,Prior1YearDuration_ShareAcquisitionRightsIFRSMember,前期,その他,期間,JPY,円,-36000000
734,jpigp_cor:TotalTransactionsWithOwnersIFRS,所有者との取引額（IFRS）,Prior1YearDuration_OtherComponentsOfEquityIFRSMember,前期,その他,期間,JPY,円,-10747000000
735,jpigp_cor:TotalTransactionsWithOwnersIFRS,所有者との取引額（IFRS）,Prior1YearDuration_EquityAttributableToOwnersOfParentIFRSMember,前期,その他,期間,JPY,円,-2156000000
736,jpigp_cor:TotalTransactionsWithOwnersIFRS,所有者との取引額（IFRS）,Prior1YearDuration_NonControllingInterestsIFRSMember,前期,その他,期間,JPY,円,347000000
737,jpigp_cor:TotalTransactionsWithOwnersIFRS,所有者との取引額（IFRS）,Prior1YearDuration,前期,その他,期間,JPY,円,-1809000000
738,jpigp_cor:EquityIFRS,資本（IFRS）,Prior1YearInstant_ShareCapitalIFRSMember,前期末,その他,時点,JPY,円,37519000000
739,jpigp_cor:EquityIFRS,資本（IFRS）,Prior1YearInstant_CapitalSurplusIFRSMember,前期末,その他,時点,JPY,円,204154000000
740,jpigp_cor:EquityIFRS,資本（IFRS）,Prior1YearInstant_RetainedEarningsIFRSMember,前期末,その他,時点,JPY,円,164682000000
741,jpigp_cor:EquityIFRS,資本（IFRS）,Prior1YearInstant_TreasurySharesIFRSMember,前期末,その他,時点,JPY,円,-9358000000
742,jpigp_cor:EquityIFRS,資本（IFRS）,Prior1YearInstant_ShareAcquisitionRightsIFRSMember,前期末,その他,時点,JPY,円,427000000
743,jpigp_cor:EquityIFRS,資本（IFRS）,Prior1YearInstant_OtherComponentsOfEquityIFRSMember,前期末,その他,時点,JPY,円,89999000000
744,jpigp_cor:EquityIFRS,資本（IFRS）,Prior1YearInstant_EquityAttributableToOwnersOfParentIFRSMember,前期末,その他,時点,JPY,円,487424000000
745,jpigp_cor:EquityIFRS,資本（IFRS）,Prior1YearInstant_NonControllingInterestsIFRSMember,前期末,その他,時点,JPY,円,12453000000
746,jpigp_cor:EquityIFRS,資本（IFRS）,Prior1YearInstant,前期末,その他,時点,JPY,円,499877000000
747,jpigp_cor:ProfitLossIFRS,当期利益（△損失）（IFRS）,CurrentYearDuration_ShareCapitalIFRSMember,当期,その他,期間,JPY,円,－
748,jpigp_cor:ProfitLossIFRS,当期利益（△損失）（IFRS）,CurrentYearDuration_CapitalSurplusIFRSMember,当期,その他,期間,JPY,円,－
749,jpigp_cor:ProfitLossIFRS,当期利益（△損失）（IFRS）,CurrentYearDuration_RetainedEarningsIFRSMember,当期,その他,期間,JPY,円,4521000000
750,jpigp_cor:ProfitLossIFRS,当期利益（△損失）（IFRS）,CurrentYearDuration_TreasurySharesIFRSMember,当期,その他,期間,JPY,円,－
751,jpigp_cor:ProfitLossIFRS,当期利益（△損失）（IFRS）,CurrentYearDuration_ShareAcquisitionRightsIFRSMember,当期,その他,期間,JPY,円,－
752,jpigp_cor:ProfitLossIFRS,当期利益（△損失）（IFRS）,CurrentYearDuration_OtherComponentsOfEquityIFRSMember,当期,その他,期間,JPY,円,－
753,jpigp_cor:ProfitLossIFRS,当期利益（△損失）（IFRS）,CurrentYearDuration_EquityAttributableToOwnersOfParentIFRSMember,当期,その他,期間,JPY,円,4521000000
754,jpigp_cor:ProfitLossIFRS,当期利益（△損失）（IFRS）,CurrentYearDuration_NonControllingInterestsIFRSMember,当期,その他,期間,JPY,円,-321000000
755,jpigp_cor:ProfitLossIFRS,当期利益（△損失）（IFRS）,CurrentYearDuration,当期,その他,期間,JPY,円,4199000000
756,jpigp_cor:OtherComprehensiveIncomeIFRS,その他の包括利益（IFRS）,CurrentYearDuration_ShareCapitalIFRSMember,当期,その他,期間,JPY,円,－
757,jpigp_cor:OtherComprehensiveIncomeIFRS,その他の包括利益（IFRS）,CurrentYearDuration_CapitalSurplusIFRSMember,当期,その他,期間,JPY,円,－
758,jpigp_cor:OtherComprehensiveIncomeIFRS,その他の包括利益（IFRS）,CurrentYearDuration_RetainedEarningsIFRSMember,当期,その他,期間,JPY,円,－
759,jpigp_cor:OtherComprehensiveIncomeIFRS,その他の包括利益（IFRS）,CurrentYearDuration_TreasurySharesIFRSMember,当期,その他,期間,JPY,円,－
760,jpigp_cor:OtherComprehensiveIncomeIFRS,その他の包括利益（IFRS）,CurrentYearDuration_ShareAcquisitionRightsIFRSMember,当期,その他,期間,JPY,円,－
761,jpigp_cor:OtherComprehensiveIncomeIFRS,その他の包括利益（IFRS）,CurrentYearDuration_OtherComponentsOfEquityIFRSMember,当期,その他,期間,JPY,円,48023000000
762,jpigp_cor:OtherComprehensiveIncomeIFRS,その他の包括利益（IFRS）,CurrentYearDuration_EquityAttributableToOwnersOfParentIFRSMember,当期,その他,期間,JPY,円,48023000000
763,jpigp_cor:OtherComprehensiveIncomeIFRS,その他の包括利益（IFRS）,CurrentYearDuration_NonControllingInterestsIFRSMember,当期,その他,期間,JPY,円,1555000000
764,jpigp_cor:OtherComprehensiveIncomeIFRS,その他の包括利益（IFRS）,CurrentYearDuration,当期,その他,期間,JPY,円,49578000000
765,jpigp_cor:ComprehensiveIncomeIFRS,当期包括利益（IFRS）,CurrentYearDuration_ShareCapitalIFRSMember,当期,その他,期間,JPY,円,－
766,jpigp_cor:ComprehensiveIncomeIFRS,当期包括利益（IFRS）,CurrentYearDuration_CapitalSurplusIFRSMember,当期,その他,期間,JPY,円,－
767,jpigp_cor:ComprehensiveIncomeIFRS,当期包括利益（IFRS）,CurrentYearDuration_RetainedEarningsIFRSMember,当期,その他,期間,JPY,円,4521000000
768,jpigp_cor:ComprehensiveIncomeIFRS,当期包括利益（IFRS）,CurrentYearDuration_TreasurySharesIFRSMember,当期,その他,期間,JPY,円,－
769,jpigp_cor:ComprehensiveIncomeIFRS,当期包括利益（IFRS）,CurrentYearDuration_ShareAcquisitionRightsIFRSMember,当期,その他,期間,JPY,円,－
770,jpigp_cor:ComprehensiveIncomeIFRS,当期包括利益（IFRS）,CurrentYearDuration_OtherComponentsOfEquityIFRSMember,当期,その他,期間,JPY,円,48023000000
771,jpigp_cor:ComprehensiveIncomeIFRS,当期包括利益（IFRS）,CurrentYearDuration_EquityAttributableToOwnersOfParentIFRSMember,当期,その他,期間,JPY,円,52545000000
772,jpigp_cor:ComprehensiveIncomeIFRS,当期包括利益（IFRS）,CurrentYearDuration_NonControllingInterestsIFRSMember,当期,その他,期間,JPY,円,1233000000
773,jpigp_cor:ComprehensiveIncomeIFRS,当期包括利益（IFRS）,CurrentYearDuration,当期,その他,期間,JPY,円,53778000000
774,jpigp_cor:DividendsSSIFRS,配当金、持分変動計算書（IFRS）,CurrentYearDuration_ShareCapitalIFRSMember,当期,その他,期間,JPY,円,－
775,jpigp_cor:DividendsSSIFRS,配当金、持分変動計算書（IFRS）,CurrentYearDuration_CapitalSurplusIFRSMember,当期,その他,期間,JPY,円,－
776,jpigp_cor:DividendsSSIFRS,配当金、持分変動計算書（IFRS）,CurrentYearDuration_RetainedEarningsIFRSMember,当期,その他,期間,JPY,円,－
777,jpigp_cor:DividendsSSIFRS,配当金、持分変動計算書（IFRS）,CurrentYearDuration_TreasurySharesIFRSMember,当期,その他,期間,JPY,円,－
778,jpigp_cor:DividendsSSIFRS,配当金、持分変動計算書（IFRS）,CurrentYearDuration_ShareAcquisitionRightsIFRSMember,当期,その他,期間,JPY,円,－
779,jpigp_cor:DividendsSSIFRS,配当金、持分変動計算書（IFRS）,CurrentYearDuration_OtherComponentsOfEquityIFRSMember,当期,その他,期間,JPY,円,－
780,jpigp_cor:DividendsSSIFRS,配当金、持分変動計算書（IFRS）,CurrentYearDuration_EquityAttributableToOwnersOfParentIFRSMember,当期,その他,期間,JPY,円,－
781,jpigp_cor:DividendsSSIFRS,配当金、持分変動計算書（IFRS）,CurrentYearDuration_NonControllingInterestsIFRSMember,当期,その他,期間,JPY,円,-120000000
782,jpigp_cor:DividendsSSIFRS,配当金、持分変動計算書（IFRS）,CurrentYearDuration,当期,その他,期間,JPY,円,-120000000
783,jpigp_cor:PurchaseAndDisposalOfTreasurySharesSSIFRS,自己株式の取得及び処分、持分変動計算書（IFRS）,CurrentYearDuration_ShareCapitalIFRSMember,当期,その他,期間,JPY,円,－
784,jpigp_cor:PurchaseAndDisposalOfTreasurySharesSSIFRS,自己株式の取得及び処分、持分変動計算書（IFRS）,CurrentYearDuration_CapitalSurplusIFRSMember,当期,その他,期間,JPY,円,－
785,jpigp_cor:PurchaseAndDisposalOfTreasurySharesSSIFRS,自己株式の取得及び処分、持分変動計算書（IFRS）,CurrentYearDuration_RetainedEarningsIFRSMember,当期,その他,期間,JPY,円,-125000000
786,jpigp_cor:PurchaseAndDisposalOfTreasurySharesSSIFRS,自己株式の取得及び処分、持分変動計算書（IFRS）,CurrentYearDuration_TreasurySharesIFRSMember,当期,その他,期間,JPY,円,472000000
787,jpigp_cor:PurchaseAndDisposalOfTreasurySharesSSIFRS,自己株式の取得及び処分、持分変動計算書（IFRS）,CurrentYearDuration_ShareAcquisitionRightsIFRSMember,当期,その他,期間,JPY,円,－
788,jpigp_cor:PurchaseAndDisposalOfTreasurySharesSSIFRS,自己株式の取得及び処分、持分変動計算書（IFRS）,CurrentYearDuration_OtherComponentsOfEquityIFRSMember,当期,その他,期間,JPY,円,－
789,jpigp_cor:PurchaseAndDisposalOfTreasurySharesSSIFRS,自己株式の取得及び処分、持分変動計算書（IFRS）,CurrentYearDuration_EquityAttributableToOwnersOfParentIFRSMember,当期,その他,期間,JPY,円,347000000
790,jpigp_cor:PurchaseAndDisposalOfTreasurySharesSSIFRS,自己株式の取得及び処分、持分変動計算書（IFRS）,CurrentYearDuration_NonControllingInterestsIFRSMember,当期,その他,期間,JPY,円,－
791,jpigp_cor:PurchaseAndDisposalOfTreasurySharesSSIFRS,自己株式の取得及び処分、持分変動計算書（IFRS）,CurrentYearDuration,当期,その他,期間,JPY,円,347000000
792,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,CurrentYearDuration_ShareCapitalIFRSMember,当期,その他,期間,JPY,円,－
793,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,CurrentYearDuration_CapitalSurplusIFRSMember,当期,その他,期間,JPY,円,-86000000
794,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,CurrentYearDuration_RetainedEarningsIFRSMember,当期,その他,期間,JPY,円,－
795,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,CurrentYearDuration_TreasurySharesIFRSMember,当期,その他,期間,JPY,円,－
796,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,CurrentYearDuration_ShareAcquisitionRightsIFRSMember,当期,その他,期間,JPY,円,-177000000
797,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,CurrentYearDuration_OtherComponentsOfEquityIFRSMember,当期,その他,期間,JPY,円,－
798,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,CurrentYearDuration_EquityAttributableToOwnersOfParentIFRSMember,当期,その他,期間,JPY,円,-264000000
799,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,CurrentYearDuration_NonControllingInterestsIFRSMember,当期,その他,期間,JPY,円,－
800,jpigp_cor:ShareBasedPaymentTransactionsSSIFRS,株式報酬取引、持分変動計算書（IFRS）,CurrentYearDuration,当期,その他,期間,JPY,円,-264000000
801,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,CurrentYearDuration_ShareCapitalIFRSMember,当期,その他,期間,JPY,円,－
802,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,CurrentYearDuration_CapitalSurplusIFRSMember,当期,その他,期間,JPY,円,－
803,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,CurrentYearDuration_RetainedEarningsIFRSMember,当期,その他,期間,JPY,円,－
804,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,CurrentYearDuration_TreasurySharesIFRSMember,当期,その他,期間,JPY,円,－
805,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,CurrentYearDuration_ShareAcquisitionRightsIFRSMember,当期,その他,期間,JPY,円,－
806,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,CurrentYearDuration_OtherComponentsOfEquityIFRSMember,当期,その他,期間,JPY,円,－
807,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,CurrentYearDuration_EquityAttributableToOwnersOfParentIFRSMember,当期,その他,期間,JPY,円,－
808,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,CurrentYearDuration_NonControllingInterestsIFRSMember,当期,その他,期間,JPY,円,－
809,jpigp_cor:ChangesInOwnershipInterestInSubsidiariesSSIFRS,支配継続子会社に対する持分変動、持分変動計算書（IFRS）,CurrentYearDuration,当期,その他,期間,JPY,円,－
810,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,CurrentYearDuration_ShareCapitalIFRSMember,当期,その他,期間,JPY,円,－
811,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,CurrentYearDuration_CapitalSurplusIFRSMember,当期,その他,期間,JPY,円,-80000000
812,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,CurrentYearDuration_RetainedEarningsIFRSMember,当期,その他,期間,JPY,円,－
813,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,CurrentYearDuration_TreasurySharesIFRSMember,当期,その他,期間,JPY,円,－
814,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,CurrentYearDuration_ShareAcquisitionRightsIFRSMember,当期,その他,期間,JPY,円,－
815,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,CurrentYearDuration_OtherComponentsOfEquityIFRSMember,当期,その他,期間,JPY,円,－
816,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,CurrentYearDuration_EquityAttributableToOwnersOfParentIFRSMember,当期,その他,期間,JPY,円,-80000000
817,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,CurrentYearDuration_NonControllingInterestsIFRSMember,当期,その他,期間,JPY,円,－
818,jpcrp030000-asr_E00989-000:EquityAndOtherTransactionsWithNonControllingShareholdersSSIFRS,,CurrentYearDuration,当期,その他,期間,JPY,円,-80000000
819,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,CurrentYearDuration_ShareCapitalIFRSMember,当期,その他,期間,JPY,円,－
820,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,CurrentYearDuration_CapitalSurplusIFRSMember,当期,その他,期間,JPY,円,-155000000
821,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,CurrentYearDuration_RetainedEarningsIFRSMember,当期,その他,期間,JPY,円,－
822,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,CurrentYearDuration_TreasurySharesIFRSMember,当期,その他,期間,JPY,円,－
823,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,CurrentYearDuration_ShareAcquisitionRightsIFRSMember,当期,その他,期間,JPY,円,－
824,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,CurrentYearDuration_OtherComponentsOfEquityIFRSMember,当期,その他,期間,JPY,円,－
825,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,CurrentYearDuration_EquityAttributableToOwnersOfParentIFRSMember,当期,その他,期間,JPY,円,-155000000
826,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,CurrentYearDuration_NonControllingInterestsIFRSMember,当期,その他,期間,JPY,円,－
827,jpcrp030000-asr_E00989-000:PutOptionsWrittenOnNonControllingInterestsSSIFRS,,CurrentYearDuration,当期,その他,期間,JPY,円,-155000000
828,jpigp_cor:TransferFromOtherComponentsOfEquityToRetainedEarningsSSIFRS,その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,CurrentYearDuration_ShareCapitalIFRSMember,当期,その他,期間,JPY,円,－
829,jpigp_cor:TransferFromOtherComponentsOfEquityToRetainedEarningsSSIFRS,その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,CurrentYearDuration_CapitalSurplusIFRSMember,当期,その他,期間,JPY,円,－
